ins_833	1 1936  || 2-3 yılın  || 2 yılın  || 3 null  || 4 .	1936 yılındayız.
bio_1265	1 adeta || 2 kendinden geçmiş || 3 bir || 4 hâl || 5.	Adeta kendimden geçmiş bir haldeyim.
ins_1281	1 o || 2 nasıl || 3 der || 4 de || 5 uğraşmış || 6 sanatın || 7 kendine || 8 emanet || 9 olmuş || 10 söylemiş || 11 Üstadları || 12 var || 13 ydi || 14 .	O nasıl derse desin uğraştığı sanatın kendisine emanet olduğunu söyleyen üstadları vardı.
pop_1958	1 Ahmed Rasim || 2 , || 3 Büyükada'ya || 4 git || 5 birkaç || 6 gün || 7 kaldı || 8 . || 9-10	Ahmed Rasim, Büyükada'ya gidip birkaç gün kalmayı tasarlamıştı.
ins_1267	1 rüzgâr || 2 yine || 3 güçlü || 4 esiyle || 5 oldu || 6 .	Rüzgâr yine güçlü esiyordu.
news_1025	1 öte yan  || 2 yan  || 3 sarı - lacivertli  || 4 -  || 5 lacivertli  || 6 ,  || 7 yarın  || 8 Samandıra  || 9 tesiste  || 10 Türk Telekom lig  || 11 Türk  || 12 Telekom  || 13 A  || 14 takımı  || 15 Kocaelispor  || 16 saat  || 17 19.30  || 18 bir  || 19 hazırlık  || 20 maçı  || 21 yap  || 22 .	Öte yandan Sarı-Lacivertliler, yarın Samandıra Tesisleri'nde Türk Telekom Lig A takımlarından Kocaelispor'la saat 19.30'da bir hazırlık maçı yapacak.
ess_1258	1 peki || 2 kim || 3 bu || 4 küçük || 5 ve || 6 basit || 7 sebep || 8 devleş || 9 ara || 10 sok || 11 dur || 12 ?	Peki kim bu küçük ve basit sebepleri devleştirerek aramıza sokup duruyor?
bio_1510	1 meşrutiyetin || 2 ilanından || 3 önceki || 4 siyasi || 5 faaliyetlere || 6 katıldı || 7 .	Meşrutiyetin ilanından önceki siyasi faaliyetlere katıldı.
bio_289	1 - || 2-3 Öger prodüksiyonu || 2 Öger || 3 prodüksiyonu || 4 .	- Öger Prodüksiyon.
ess_1924	1 ' || 2 Yalnız || 3 , || 4 neden || 5 yaşa || 6 ıstırap || 7 verici || 8 bir || 9 şey || 10 ?	'Yalnız, neden yaşamak ıstırap verici bir şey?
